=== RESULTS ===

Algorithm:	Apriori
Count:		1417

Finished in 34.79 seconds35-50y: 11176
Bachelors: 5355
Never-married: 10683
Not-in-family: 8305
White: 27816
Male: 21790
cl_0: 31042
<40h: 22980
United-States: 29170
<=50K: 24720
Married-civ-spouse: 14976
Husband: 13193
cg_0: 29849
Private: 22696
HS-grad: 10501
no-spouse: 6902
Services: 5463
50-65y: 5302
25-35y: 8514
Female: 10771
41-50h: 5938
>50K: 7841
Some-college: 7291
0-25y: 6411
Own-child: 5068
35-50y<40h: 7011
35-50y<=50K: 7138
35-50yMale: 7851
35-50yUnited-States: 10022
35-50yWhite: 9539
35-50ycl_0: 10519
<40h<=50K: 18995
<40hMale: 13951
<40hNever-married: 8571
<40hNot-in-family: 5839
<40hUnited-States: 20414
<40hWhite: 19056
<40hcl_0: 22079
<=50KMale: 15128
<=50KNever-married: 10192
<=50KNot-in-family: 7449
<=50KUnited-States: 21999
<=50KWhite: 20699
<=50Kcl_0: 23974
Bachelorscl_0: 5017
MaleNever-married: 5916
MaleUnited-States: 19488
MaleWhite: 19174
Malecl_0: 20640
Never-marriedUnited-States: 9579
Never-marriedWhite: 8757
Never-marriedcl_0: 10369
Not-in-familyUnited-States: 7528
Not-in-familyWhite: 7125
Not-in-familycl_0: 7971
United-StatesWhite: 25621
United-Statescl_0: 27791
Whitecl_0: 26470
35-50yHusband: 5796
35-50yMarried-civ-spouse: 6533
35-50ycg_0: 10005
<40hHusband: 7743
<40hMarried-civ-spouse: 9199
<40hcg_0: 21423
<=50KHusband: 7275
<=50KMarried-civ-spouse: 8284
<=50Kcg_0: 23685
HusbandMale: 13192
HusbandMarried-civ-spouse: 13184
HusbandUnited-States: 11861
HusbandWhite: 11940
Husbandcg_0: 11595
Husbandcl_0: 12337
MaleMarried-civ-spouse: 13319
Malecg_0: 19701
Married-civ-spouseUnited-States: 13368
Married-civ-spouseWhite: 13410
Married-civ-spousecg_0: 13157
Married-civ-spousecl_0: 14018
United-Statescg_0: 26699
Whitecg_0: 25407
cg_0cl_0: 28330
35-50yPrivate: 7524
<40hHS-grad: 7802
<40hPrivate: 16278
<40hno-spouse: 5210
<=50KHS-grad: 8826
<=50KPrivate: 17733
<=50KServices: 5028
<=50Kno-spouse: 6244
HS-gradMale: 7111
HS-gradPrivate: 7780
HS-gradUnited-States: 9702
HS-gradWhite: 8904
HS-gradcg_0: 9818
HS-gradcl_0: 10098
MalePrivate: 14944
Not-in-familyPrivate: 6006
Not-in-familycg_0: 7761
PrivateUnited-States: 20135
PrivateWhite: 19404
Privatecg_0: 20964
Privatecl_0: 21714
Servicescg_0: 5237
Servicescl_0: 5331
United-Statesno-spouse: 6223
Whiteno-spouse: 5649
cg_0no-spouse: 6464
cl_0no-spouse: 6655
50-65ycl_0: 5013
HusbandPrivate: 8572
Married-civ-spousePrivate: 9732
25-35y<40h: 5671
25-35y<=50K: 6923
25-35yPrivate: 6488
25-35ycg_0: 7958
25-35ycl_0: 8149
<40hFemale: 9029
<=50KFemale: 9592
FemalePrivate: 7752
Femalecg_0: 10148
Femalecl_0: 10402
FemaleUnited-States: 9682
FemaleWhite: 8642
41-50hUnited-States: 5465
41-50hWhite: 5458
41-50hcg_0: 5231
41-50hcl_0: 5576
>50KHusband: 5918
>50KMale: 6662
>50KMarried-civ-spouse: 6692
>50KUnited-States: 7171
>50KWhite: 7117
>50Kcg_0: 6164
>50Kcl_0: 7068
25-35yUnited-States: 7492
25-35yWhite: 7102
Never-marriedPrivate: 8186
PrivateSome-college: 5094
Some-collegeUnited-States: 6740
Some-collegecg_0: 6818
Some-collegecl_0: 7006
25-35yMale: 5781
0-25y<40h: 5582
0-25y<=50K: 6297
0-25yNever-married: 5456
0-25yPrivate: 5097
0-25yUnited-States: 5790
0-25yWhite: 5488
0-25ycg_0: 6223
0-25ycl_0: 6268
<=50KOwn-child: 5001
Never-marriedcg_0: 10228
<=50KSome-college: 5904
<40hSome-college: 5392
Some-collegeWhite: 6207
35-50y<40h<=50K: 5055
35-50y<40hUnited-States: 6207
35-50y<40hWhite: 5726
35-50y<40hcl_0: 6671
35-50y<=50KUnited-States: 6316
35-50y<=50KWhite: 5889
35-50y<=50Kcl_0: 6895
35-50yMaleUnited-States: 7066
35-50yMaleWhite: 6979
35-50yMalecl_0: 7328
35-50yUnited-StatesWhite: 8814
35-50yUnited-Statescl_0: 9428
35-50yWhitecl_0: 8944
<40h<=50KMale: 10775
<40h<=50KNever-married: 8364
<40h<=50KNot-in-family: 5484
<40h<=50KUnited-States: 16815
<40h<=50KWhite: 15536
<40h<=50Kcl_0: 18451
<40hMaleUnited-States: 12299
<40hMaleWhite: 11918
<40hMalecl_0: 13342
<40hNever-marriedUnited-States: 7678
<40hNever-marriedWhite: 6902
<40hNever-marriedcl_0: 8339
<40hNot-in-familyUnited-States: 5264
<40hNot-in-familycl_0: 5624
<40hUnited-StatesWhite: 17425
<40hUnited-Statescl_0: 19598
<40hWhitecl_0: 18287
<=50KMaleNever-married: 5591
<=50KMaleUnited-States: 13389
<=50KMaleWhite: 13085
<=50KMalecl_0: 14650
<=50KNever-marriedUnited-States: 9131
<=50KNever-marriedWhite: 8328
<=50KNever-marriedcl_0: 9921
<=50KNot-in-familyUnited-States: 6735
<=50KNot-in-familyWhite: 6358
<=50KNot-in-familycl_0: 7180
<=50KUnited-StatesWhite: 18917
<=50KUnited-Statescl_0: 21325
<=50KWhitecl_0: 20059
MaleNever-marriedUnited-States: 5251
MaleNever-marriedcl_0: 5740
MaleUnited-StatesWhite: 17653
MaleUnited-Statescl_0: 18448
MaleWhitecl_0: 18142
Never-marriedUnited-StatesWhite: 8064
Never-marriedUnited-Statescl_0: 9292
Never-marriedWhitecl_0: 8497
Not-in-familyUnited-StatesWhite: 6609
Not-in-familyUnited-Statescl_0: 7217
Not-in-familyWhitecl_0: 6831
United-StatesWhitecl_0: 24349
35-50y<40hcg_0: 6415
35-50y<=50Kcg_0: 6810
35-50yHusbandMale: 5796
35-50yHusbandMarried-civ-spouse: 5794
35-50yHusbandUnited-States: 5216
35-50yHusbandWhite: 5235
35-50yHusbandcg_0: 5040
35-50yHusbandcl_0: 5378
35-50yMaleMarried-civ-spouse: 5823
35-50yMalecg_0: 6928
35-50yMarried-civ-spouseUnited-States: 5837
35-50yMarried-civ-spouseWhite: 5841
35-50yMarried-civ-spousecg_0: 5679
35-50yMarried-civ-spousecl_0: 6067
35-50yUnited-Statescg_0: 8941
35-50yWhitecg_0: 8507
35-50ycg_0cl_0: 9348
<40h<=50KMarried-civ-spouse: 5715
<40h<=50Kcg_0: 18243
<40hHusbandMale: 7742
<40hHusbandMarried-civ-spouse: 7741
<40hHusbandUnited-States: 6826
<40hHusbandWhite: 6815
<40hHusbandcg_0: 6926
<40hHusbandcl_0: 7321
<40hMaleMarried-civ-spouse: 7836
<40hMalecg_0: 12861
<40hMarried-civ-spouseUnited-States: 8056
<40hMarried-civ-spouseWhite: 8012
<40hMarried-civ-spousecg_0: 8202
<40hMarried-civ-spousecl_0: 8695
<40hUnited-Statescg_0: 18999
<40hWhitecg_0: 17713
<40hcg_0cl_0: 20522
<=50KHusbandMale: 7274
<=50KHusbandMarried-civ-spouse: 7270
<=50KHusbandUnited-States: 6436
<=50KHusbandWhite: 6512
<=50KHusbandcg_0: 6869
<=50KHusbandcl_0: 7032
<=50KMaleMarried-civ-spouse: 7381
<=50KMalecg_0: 14441
<=50KMarried-civ-spouseUnited-States: 7251
<=50KMarried-civ-spouseWhite: 7305
<=50KMarried-civ-spousecg_0: 7808
<=50KMarried-civ-spousecl_0: 8009
<=50KUnited-Statescg_0: 21068
<=50KWhitecg_0: 19801
<=50Kcg_0cl_0: 22939
HusbandMaleMarried-civ-spouse: 13183
HusbandMaleUnited-States: 11860
HusbandMaleWhite: 11939
HusbandMalecg_0: 11594
HusbandMalecl_0: 12336
HusbandMarried-civ-spouseUnited-States: 11852
HusbandMarried-civ-spouseWhite: 11931
HusbandMarried-civ-spousecg_0: 11587
HusbandMarried-civ-spousecl_0: 12328
HusbandUnited-StatesWhite: 11053
HusbandUnited-Statescg_0: 10408
HusbandUnited-Statescl_0: 11086
HusbandWhitecg_0: 10473
HusbandWhitecl_0: 11159
Husbandcg_0cl_0: 10739
MaleMarried-civ-spouseUnited-States: 11947
MaleMarried-civ-spouseWhite: 12036
MaleMarried-civ-spousecg_0: 11710
MaleMarried-civ-spousecl_0: 12461
MaleUnited-Statescg_0: 17586
MaleWhitecg_0: 17286
Malecg_0cl_0: 18551
Married-civ-spouseUnited-StatesWhite: 12369
Married-civ-spouseUnited-Statescg_0: 11719
Married-civ-spouseUnited-Statescl_0: 12502
Married-civ-spouseWhitecg_0: 11756
Married-civ-spouseWhitecl_0: 12537
Married-civ-spousecg_0cl_0: 12199
United-StatesWhitecg_0: 23369
United-Statescg_0cl_0: 25320
Whitecg_0cl_0: 24061
35-50yMalePrivate: 5220
